2018-05-22 19:09:38.152996,binance,BTC,1.0
2018-05-22 19:27:24.551894,binance,ETH,1.0
2018-05-22 19:27:51.870621,bittrex,BTC,1.0
2018-07-04 21:27:29.564071,afa,SADFASD,-1.0
2018-09-17 10:47:12.168283,bitfinex,XTZ,-1.0
2018-09-18 19:07:54.255274,bithumb,WAVES,1.0
2018-09-18 20:50:31.300667,binance,TRX,1.0
2018-09-19 07:18:36.783403,huobi,DATX,1.0
2018-09-19 07:18:39.898168,huobi,GTC,1.0
2018-09-19 07:18:46.972745,huobi,MAN,1.0
2018-09-19 07:19:07.836357,huobi,REN,1.0
2018-09-19 07:19:08.624746,huobi,AE,1.0
2018-09-19 07:19:41.568431,huobi,FAIR,1.0
2018-09-19 07:20:03.204089,huobi,MEETONE,1.0
2018-09-19 07:20:37.149554,huobi,KCASH,1.0
2018-09-19 07:20:41.236364,huobi,IQ,1.0
2018-09-19 07:20:57.880019,huobi,TRIO,1.0
2018-09-19 07:28:09.746790,huobi,HOT,1.0
2018-09-19 07:28:21.856370,huobi,FTI,1.0
2018-09-19 07:28:28.924579,huobi,GSC,1.0
2018-09-19 07:28:48.026252,huobi,LYM,1.0
2018-09-19 07:29:13.465099,huobi,AAC,1.0
2018-09-19 07:30:09.475317,huobi,UUU,1.0
2018-09-19 07:30:17.149535,huobi,YCC,1.0
2018-09-19 07:34:51.930101,huobi,PNT,1.0
2018-09-20 11:04:02.276713,bitfinex,CNN,-1.0
2018-09-20 11:04:07.811939,bitfinex,BOX,-1.0
2018-09-20 17:33:31.323887,bittrex,DTA,-1.0
2018-10-07 03:10:21.621189,binance,PAX,1.0
2018-10-09 21:28:46.697688,upbit,XHV,2.0
2018-10-10 03:03:08.388259,hitbtc,ETH,1.0
2018-10-10 03:31:09.754642,kucoin,ETH,1.0
2018-10-10 09:52:13.317948,hitbtc,BTC,1.0
2018-10-10 09:55:27.650520,hitbtc,R,1.0
2018-10-10 09:56:11.927609,hitbtc,EOS,1.0
2018-10-11 04:02:32.838802,binance,RVN,1.0
2018-10-11 15:28:41.206956,bittrex,MTL,2.0
2018-10-12 01:57:05.552484,upbit,UPP,2.0
2018-10-12 01:57:26.878995,upbit,UP,2.0
2018-10-15 07:52:30.955605,kucoin,PAX,1.0
2018-10-15 07:52:31.473871,kucoin,TUSD,1.0
2018-10-15 07:52:32.260485,kucoin,USDC,1.0
2018-10-17 12:43:23.912870,bittrex,ZRX,2.0
2018-10-18 10:32:05.899779,bitfinex,YGG,1.0
2018-10-18 10:33:42.790489,bitfinex,MLN,1.0
2018-10-18 10:34:08.985112,bitfinex,WTC,1.0
2018-10-18 10:35:20.372289,bitfinex,CS,1.0
2018-10-18 10:43:46.086450,bitfinex,NUSD,1.0
2018-10-18 23:30:22.540384,upbit,ELF,2.0
2018-10-23 15:15:13.122790,bittrex,BAT,4.0
2018-10-23 15:15:14.267384,bittrex,RVN,2.0
2018-10-23 22:00:03.356337,binance,DCR,2.0
2018-10-23 22:00:25.576601,binance,CRB,1.0
2018-10-24 03:42:20.449432,bibox,MAS,1.0
2018-10-25 01:42:39.824867,upbit,DOGE,2.0
2018-10-25 01:42:40.412065,upbit,ZRX,2.0
2018-10-25 01:42:40.956062,upbit,RVN,2.0
2018-10-25 01:42:41.511064,upbit,BAT,2.0
2018-10-25 13:00:21.232486,coinbase,USDC,1.0
2018-10-25 17:01:59.516371,bittrex,PAL,4.0
2018-10-25 21:52:31.679499,upbit,KNC,2.0
2018-10-26 00:30:02.522637,huobi,EOS,1.0
2018-10-28 22:00:07.917204,kucoin,VNX,1.0
2018-10-29 03:38:16.509736,upbit,PAL,2.0
2018-10-29 05:39:20.668162,hitbtc,TX,1.0
2018-10-29 17:40:03.171764,bittrex,SC,2.0
2018-10-30 03:32:07.919484,kucoin,PAL,1.0
2018-11-01 03:35:14.799548,upbit,PAX,2.0
2018-11-01 07:28:29.813008,bitfinex,INT,1.0
2018-11-01 07:28:30.369999,bitfinex,DRGN,1.0
2018-11-01 07:28:31.047658,bitfinex,PNK,1.0
2018-11-01 18:49:13.439098,bittrex,MOC,2.0
2018-11-01 18:49:13.967792,bittrex,NPXS,2.0
2018-11-01 18:49:14.616657,bittrex,ZIL,2.0
2018-11-02 04:51:56.726574,huobi,XMR,1.0
2018-11-02 06:52:20.279410,hitbtc,MRK,1.0
2018-11-02 12:42:49.561172,bitfinex,DGB,1.0
2018-11-02 12:43:06.345773,hitbtc,DGB,1.0
2018-11-05 02:41:13.809991,kucoin,STQ,1.0
2018-11-05 02:41:14.654119,bibox,OSA,1.0
2018-11-05 20:00:10.891812,coinone,BAT,1.0
2018-11-06 02:47:13.335243,kucoin,FTM,1.0
2018-11-06 02:47:14.936575,binance,CAP,2.0
2018-11-06 11:46:56.110804,bittrex,OST,2.0
2018-11-06 23:30:08.356848,huobi,ZEN,1.0
2018-11-08 14:15:18.871041,bittrex,SPC,2.0
2018-11-09 00:35:18.453892,upbit,ZIL,2.0
2018-11-09 00:35:20.097315,upbit,OST,2.0
2018-11-09 04:37:20.452717,hitbtc,OAK,2.0
2018-11-09 14:24:10.172207,hitbtc,BCH,2.0
2018-11-12 06:26:42.391509,hitbtc,BKX,2.0
2018-11-12 22:00:10.064585,coinone,STORM,1.0
2018-11-13 04:25:38.950998,bitfinex,TCN,2.0
2018-11-13 04:25:40.280471,bitfinex,BAX,1.0
2018-11-13 16:19:44.450524,bittrex,MEDX,2.0
2018-11-13 19:26:58.449155,bittrex,MED,2.0
2018-11-14 01:17:32.626641,upbit,MED,2.0
2018-11-14 01:17:33.251649,upbit,SPC,2.0
2018-11-14 21:43:39.590755,binance,USDC,1.0
2018-11-15 01:41:43.766743,binance,MITH,1.0
2018-11-15 03:42:24.494631,upbit,CAP,6.0
2018-11-18 23:53:37.229303,okex,BCHSV,1.0
2018-11-19 06:21:51.354888,bitfinex,WLO,2.0
2018-11-19 06:21:51.903210,bitfinex,VLD,2.0
2018-11-19 06:21:52.454312,bitfinex,ENJ,2.0
2018-11-19 06:21:59.545606,bitfinex,ONL,2.0
2018-11-19 22:30:23.615476,coinone,RED,1.0
2018-11-20 01:00:01.457933,bibox,SDS,1.0
2018-11-20 01:13:36.577101,kucoin,KCS,1.0
2018-11-20 04:00:36.273731,hitbtc,MRS,2.0
2018-11-20 08:02:41.342855,kucoin,EOS,1.0
2018-11-20 10:03:28.913682,hitbtc,ETN,1.0
2018-11-20 10:03:29.521434,hitbtc,NET,1.0
2018-11-20 10:03:30.049106,hitbtc,NUSD,1.0
2018-11-20 10:03:33.838922,hitbtc,SBTC,1.0
2018-11-20 10:03:34.386763,hitbtc,SETH,1.0
2018-11-21 10:49:52.536536,bittrex,XNK,2.0
2018-11-21 10:49:53.074222,bittrex,INK,2.0
2018-11-21 16:19:32.859202,hitbtc,POA,2.0
2018-11-23 06:17:58.747142,bitfinex,RBT,2.0
2018-11-26 00:02:13.471582,upbit,XNK,2.0
2018-11-26 20:05:44.392485,coinone,GNO,1.0
2018-11-27 02:38:15.305988,kucoin,LSK,1.0
2018-11-27 08:25:05.570106,bitfinex,UST,2.0
2018-11-27 08:25:06.454886,bitfinex,UT,2.0
2018-11-28 00:08:50.595814,kucoin,GMB,1.0
2018-11-28 18:03:54.382925,bithumb,XVG,1.0
2018-11-29 02:53:38.302790,binance,BCHSV,1.0
2018-11-29 06:29:44.404415,binance,BTCP,1.0
2018-11-29 06:29:45.456191,binance,XRP,1.0
2018-11-29 06:29:46.095900,binance,EOS,1.0
2018-11-29 06:29:46.642245,binance,XLM,1.0
2018-12-02 20:55:30.008043,kucoin,XRP,1.0
2018-12-02 23:13:17.941728,bithumb,TUSD,1.0
2018-12-03 00:58:50.777200,kucoin,NEO,1.0
2018-12-03 04:15:21.940709,binance,CBM,2.0
2018-12-03 23:30:09.306091,hadax,ADA,1.0
2018-12-03 23:30:09.835306,huobi,MXC,1.0
2018-12-17 21:18:13.742429,binance,NEO,1.0
2018-12-17 23:30:02.216820,huobi,WAVES,1.0
2018-12-18 01:01:30.734095,kucoin,AE,1.0
2018-12-18 01:59:50.952234,kucoin,USE,1.0
2018-12-20 00:09:43.487148,huobi,COV,1.0
2018-12-20 10:45:08.174231,coinbase,DAI,1.0
2018-12-27 08:02:31.238783,hitbtc,CL,1.0
2018-12-27 12:01:25.490927,bittrex,BSV,2.0
2018-12-27 23:30:02.370592,huobi,AMB,1.0
2018-12-28 03:35:08.085721,huobi,DCR,1.0
2018-12-31 01:55:32.666224,bithumb,ROM,1.0
2019-01-02 05:37:57.255831,bithumb,BXA,1.0
2019-01-03 11:01:48.954725,bittrex,DENT,2.0
2019-01-04 01:05:48.511783,upbit,DENT,2.0
2019-01-04 03:05:04.768389,upbit,DENT,-3
2019-01-04 03:39:57.846049,upbit,DENT,-3
2019-01-04 04:17:13.219969,upbit,DENT,-3
2019-01-04 04:51:40.326097,upbit,DENT,-3
2019-01-04 05:25:11.067615,upbit,DENT,-3
2019-01-04 05:59:24.431057,upbit,DENT,-3
2019-01-04 06:34:20.163029,upbit,DENT,-3
2019-01-04 07:06:08.714125,upbit,DENT,-3
2019-01-04 07:38:03.499134,upbit,DENT,-3
2019-01-04 08:14:47.937900,upbit,DENT,-3
2019-01-04 08:52:21.716404,upbit,DENT,-3
2019-01-04 09:24:41.672903,upbit,DENT,-3
2019-01-07 21:00:25.566695,binance,TUSD,1.0
2019-01-07 21:00:26.298375,binance,DCT,1.0
2019-01-07 21:00:27.086503,binance,PAX,-3
2019-01-09 01:17:46.118992,upbit,DRGN,2.0
2019-01-13 16:40:59.251468,bittrex,IOC,-1.0
2019-01-15 00:27:49.245871,no exception,RIF,1.0,"캐셔레스트(Cashierest) 공지 - [공지] RIF(RSK Infrastructure Framework) 상장 안내 
2019-01-15 16:27:46 🔕"
2019-01-15 00:27:50.345641,no exception,RSK,4.0,"안녕하세요 캐셔레스트입니다.
신규 암호화폐 상장을 안내해 드립니다.1) 암호 화폐명 : RSK Infrastructure Framework(RIF)2) 지갑 생성일 : 2019년 1월 15일 오후 4시30분 (예정)3) 상장 예정일 : 2019년 1월 15일 오후 5시 (예정)4) RSK Infrastructure Framework(RIF) 소개 RIF는 RSK 블록체인에서 사용되는 토큰으로, 비트코인 블록체인에서도 사용이 가능합니다. 루트스탁의 사이드체인 토큰으로 RSK 시스템에서 인프라, 프로토콜, 표준 인터페이스 등을 제공해주는 역할을 하며 추가적으로 마이너들이 이체를 하거나 컨트랙트를 체결할 때 필요한 수수료를 지불하는데 사용됩니다.4) 홈페이지 : https://www.rifos.org/ 항상 최선을 다하는 캐셔가 되겠습니다."
2019-01-15 00:32:01.916585,upbit,QKC,4.0,"업비트(Upbit) 긴급공지 - [거래] 원화 마켓 신규 상장 (쿼크체인 QKC)
2019-01-15 16:30:52 🔔"
2019-01-15 03:35:11.879047,bitfinex,RIF,2.0,"비트파이넥스(Bitfinex) 신규 지갑 - RIF(RIF)  
2019-01-15 18:57:50 🔔"
